"หัวข้อ","รายละเอียด"
"ชื่อระบบ","ระบบสำรวจสุขภาวะบุคลากรสำหรับหน่วยงานภาครัฐ (Well-being Survey System)"
"วัตถุประสงค์","ใช้เก็บข้อมูลสุขภาวะบุคลากรและข้อมูลเชิงบริหารของหน่วยงาน เพื่อสนับสนุนการวิเคราะห์ วางแผน และติดตามผลการพัฒนาองค์กร"
"กลุ่มผู้ใช้งานหลัก","1) บุคลากรทั่วไปผู้ตอบแบบสำรวจสุขภาวะ 2) HR/ผู้ประสานงานองค์กรผู้กรอกแบบสำรวจ CH1 3) ผู้ดูแลระบบส่วนกลาง"
"องค์ประกอบหลักของระบบ","ประกอบด้วย 3 ส่วนหลัก ได้แก่ แบบสำรวจสุขภาวะรายบุคคล, แบบสำรวจ CH1 สำหรับ HR, และพอร์ทัลผู้ดูแลระบบสำหรับดูข้อมูลและบริหารจัดการ"
"แบบสำรวจสุขภาวะรายบุคคล","รองรับการตอบแบบสำรวจผ่านลิงก์เฉพาะองค์กร บันทึกแบบร่างอัตโนมัติ กลับมากรอกต่อได้ และเตรียมข้อมูลสำหรับพิมพ์หรือดาวน์โหลด PDF"
"แบบสำรวจ CH1 สำหรับองค์กร","ใช้เก็บข้อมูลเชิงโครงสร้างและการบริหารทรัพยากรบุคคลของหน่วยงาน มีการแบ่งเป็นหลายส่วน ตรวจสอบความถูกต้องของข้อมูล และรองรับการจัดอันดับประเด็นสำคัญ"
"พอร์ทัลผู้ดูแลระบบ","ใช้สำหรับดูข้อมูลสรุป ติดตามผลคำตอบรายบุคคลและรายองค์กร ส่งออกข้อมูล และดูแลการตั้งค่าระบบในส่วนที่เกี่ยวข้อง"
"ความสามารถด้านรายงาน","ระบบรองรับการดูข้อมูลแบบสรุปผ่านแดชบอร์ด การดูคำตอบรายรายการ และการส่งออกข้อมูลในรูปแบบ CSV/Excel รวมถึงเอกสาร PDF ในบางส่วน"
"การกำหนดสิทธิ์การเข้าถึง","มีการแยกสิทธิ์ผู้ใช้งานตามบทบาท เช่น ผู้ดูแลระดับสูง ผู้ดูแลระบบ และผู้ประสานงานของแต่ละองค์กร เพื่อให้เห็นเฉพาะข้อมูลที่เกี่ยวข้อง"
"ความปลอดภัยของข้อมูล","ใช้ Supabase เป็นฐานข้อมูลหลัก พร้อมกลไกกำหนดสิทธิ์ระดับแถวข้อมูล (RLS) เพื่อจำกัดการเข้าถึงตามบทบาทและองค์กร"
"การรองรับหลายองค์กร","ระบบออกแบบให้รองรับหลายหน่วยงาน โดยใช้ข้อมูลองค์กรเป็นแกนกลาง และรองรับลิงก์เฉพาะองค์กรสำหรับการเก็บข้อมูล"
"การเชื่อมต่อระบบภายนอก","มีโครงสร้างรองรับการเชื่อมกับ Google Sheets และ Google Apps Script สำหรับงานซิงก์ข้อมูลหรือกระบวนการหลังบ้าน"
"เทคโนโลยีหลัก","Frontend ใช้ HTML/CSS/JavaScript, Backend ใช้ Supabase, และ Deploy บน Vercel"
"สถานะปัจจุบันของระบบ","ฟังก์ชันหลักของระบบพร้อมใช้งานแล้ว ทั้งฝั่งแบบสำรวจ Well-being, แบบสำรวจ CH1, ระบบสิทธิ์, ฐานข้อมูล, และพอร์ทัลผู้ดูแลระบบ"
"งานที่กำลังปรับปรุงต่อ","ยังมีงานพัฒนาต่อเนื่องในส่วนการแยกโครงสร้างโค้ดให้เป็นโมดูลมากขึ้น การเพิ่มระบบทดสอบอัตโนมัติ และการขยาย UI บางส่วนในแอดมิน"
"ประโยชน์เชิงบริหาร","ช่วยให้หน่วยงานรวบรวมข้อมูลได้เป็นระบบ ลดภาระการรวมข้อมูลแบบ manual เพิ่มความถูกต้องของข้อมูล และช่วยให้ผู้บริหารเห็นภาพรวมเพื่อนำไปใช้ตัดสินใจได้เร็วขึ้น"
"ความพร้อมในการใช้งานจริง","ระบบมี deployment บน Vercel และมีฐานข้อมูลบน Supabase รองรับการใช้งานจริง พร้อมเอกสารและสคริปต์สำหรับดูแลระบบในระดับปฏิบัติการ"
"ข้อเสนอสำหรับผู้บริหาร","สามารถใช้ระบบนี้เป็นศูนย์กลางการเก็บข้อมูลสุขภาวะบุคลากรและข้อมูลบริหารที่เกี่ยวข้อง พร้อมต่อยอดสู่ dashboard เชิงนโยบายและการติดตามผลในระดับองค์กรได้"
"วันที่อัปเดตสรุป","20 มีนาคม 2569"
